UW Engineering Student Guide	Guides	A collection of tips, resources, and services around Waterloo to help students succeed in University. If you are a senior, please contribute. 	https://ece.uwaterloo.ca/~pmadhiya/Site/Engineering.html 	Prashanth Madhi	http://ece.uwaterloo.ca/~pmadhiya		approved
Waterloo-USA Intern Guide	Guides	If you are considering a co-op term in the US, or are preparing for one, make sure you read this! If you just finished one, please contribute.	https://stephenholiday.com/Unofficial-Waterloo-USA-Intern-Guide/	Stephen Holiday	http://stephenholiday.com/	https://github.com/sholiday/Unofficial-Waterloo-USA-Intern-Guide	approved
What I Wish I Knew for the Design Project	Guides	Having completed their design projects, the 2012 class of Software Engineering gave an informal presentation on Thursday to share their experiences.	http://se2014.com/blog/2012/04/06/what-i-wish-i-knew-for-the-design-project/	SE2012 / SE 2014		https://github.com/cbhl/se2014.com/blob/master/source/_posts/2012-04-06-what-i-wish-i-knew-for-the-design-project.markdown	approved
